issue,action,uuid,name,warehouse_name,warehouse_uuid,unit,qty
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),ca769cd0-5701-4d74-bc2b-e76d3cd46157,Cake 60*60,"""Main Preparation Kitchen """,,Pc(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),47ea4edc-9416-4093-984f-7b2799bf1da3,Cup Of Tea,"""Main Preparation Kitchen """,,Pc(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),04979f41-d7e0-411a-8947-e4ee732a6137,Espresso,"""Main Preparation Kitchen """,,Pc(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),fad438a7-103e-4db5-9a86-5212ccd2bca0,Ice Cream With Slush 500mls,"""Main Preparation Kitchen """,,Pc(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),d20f70ec-c363-4f11-983d-ea854d293550,Iced Coffee,"""Main Preparation Kitchen """,,Pc(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),10c8ef8a-092d-4a8c-8014-8f573e371b04,Popcorn,"""Main Preparation Kitchen """,,Pc(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),0f4119cf-460f-45d6-a009-38b06d1cc2b8,Slush,"""Main Preparation Kitchen """,,Litre(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),4b7a777f-e3de-4600-8311-e51616c612d8,Vegetarian Donner Kebab,"""Main Preparation Kitchen """,,Pc(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),8817a557-6ee3-4ebc-b54e-fc9f191d134f,7-Up,Beverages Storeroom,,Case(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),8f04ae38-5181-41c0-a8c4-3318764f9617,Fanta Apple,Beverages Storeroom,,Case(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),04a25156-91c0-4f9d-abbb-668403c48b98,Fruiticana Exotic,Beverages Storeroom,,Case(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),6c7b7624-1e14-429f-aaec-d452678e064a,Kombat Energy Drink,Beverages Storeroom,,Case(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),dbca4b76-b854-4d52-ae36-4d5a17872b04,Miranda Apple,Beverages Storeroom,,Case(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),1ebcd251-1346-4cf2-8da6-a44f64202f6e,Miranda Fruity,Beverages Storeroom,,Case(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),6f60fa8f-f216-41a3-935e-5788774de096,Miranda Raspberry,Beverages Storeroom,,Case(s),
in_catalog_not_in_stock,Add this product UUID to /sync/stock (or fix UUID mismatch),c9d1cde8-c077-497a-976a-0d502169ba27,Mojo Energy Drink,Beverages Storeroom,,Case(s),
