kind,catalog_id,product_id,variant_id,name,stock_uuid
variant,359de1d5-2a2f-4f92-b5d3-bf317a1ef9cb,c1bf468f-6d16-4d34-8d9c-5f77114d3ca5,359de1d5-2a2f-4f92-b5d3-bf317a1ef9cb,15cm*15cm Cake,359de1d5-2a2f-4f92-b5d3-bf317a1ef9cb
variant,7e156baa-29b6-4887-85a9-ce557bd225aa,c1bf468f-6d16-4d34-8d9c-5f77114d3ca5,7e156baa-29b6-4887-85a9-ce557bd225aa,19cm*25cm Cake,7e156baa-29b6-4887-85a9-ce557bd225aa
product,2a8acb3e-62d8-41c1-82c6-6d87ce325ef5,2a8acb3e-62d8-41c1-82c6-6d87ce325ef5,,2 Kg Ice Cubes,2a8acb3e-62d8-41c1-82c6-6d87ce325ef5
variant,c7506bf2-c975-4821-823d-85d2a9188e85,c1bf468f-6d16-4d34-8d9c-5f77114d3ca5,c7506bf2-c975-4821-823d-85d2a9188e85,30cm Cake,c7506bf2-c975-4821-823d-85d2a9188e85
variant,8d6b6eb2-8375-4808-9326-bc40fa49ad1f,c1bf468f-6d16-4d34-8d9c-5f77114d3ca5,8d6b6eb2-8375-4808-9326-bc40fa49ad1f,35cm Cake,8d6b6eb2-8375-4808-9326-bc40fa49ad1f
product,d46c7c99-c0c2-43b3-bda5-6c7f0070f72c,d46c7c99-c0c2-43b3-bda5-6c7f0070f72c,,4 Kg Ice Cubes,d46c7c99-c0c2-43b3-bda5-6c7f0070f72c
variant,8817a557-6ee3-4ebc-b54e-fc9f191d134f,bbafd6a5-aa46-44ea-ac60-14da9bd4eaa2,8817a557-6ee3-4ebc-b54e-fc9f191d134f,7-Up,8817a557-6ee3-4ebc-b54e-fc9f191d134f
variant,3ec980a3-cb30-475d-ad54-08279b1fbbc8,fa313d72-146b-49d3-8e84-32995bad6335,3ec980a3-cb30-475d-ad54-08279b1fbbc8,Afterten 500mls,3ec980a3-cb30-475d-ad54-08279b1fbbc8
product,3a323ea4-0024-45ee-950e-dadfd4d4b33e,3a323ea4-0024-45ee-950e-dadfd4d4b33e,,Ajax Bottle,3a323ea4-0024-45ee-950e-dadfd4d4b33e
product,245,245,,Alcohols,245
